Variety Name,Variety Number,Replication,Year,IDC_Score_1,IDC-Score_2,IDC_Score_3,SPAD1,SPAD2
PI181536,100,4,2015,1,1,1,23.3,24
PI181537,101,4,2015,1,1,1,23,25
PI189916,102,4,2015,1,1,1,27.1,23
PI189919,103,4,2015,1,1,1,32,28
PI189930,104,4,2015,4,4,4,8.3,6
PI189941,105,4,2015,3,3,1,13,12
PI189958,106,4,2015,1,1,1,23.9,26
PI189969,107,4,2015,1,1,1,23,24
PI196149,108,4,2015,1,1,1,26.2,25
PI196150,109,4,2015,1,1,1,22,23
PI200478,110,4,2015,1,1,1,31.1,28
PI200548,111,4,2015,1,1,1,21.5,26
PI205085,112,4,2015,1,1,1,25.6,24
PI205087,113,4,2015,2,1,1,19,18
PI227212,114,4,2015,1,1,1,28,26
PI227325,115,4,2015,2,3,3,18.9,12
PI227558,116,4,2015,1,1,1,24,22
PI229336,117,4,2015,1,1,1,32.1,28
PI232987,118,4,2015,1,2,4,20,20
PI232988,119,4,2015,1,1,1,30.2,32
PI232989,120,4,2015,2,2,2,21,20
PI232990,121,4,2015,2,2,2,20,19
PI232992,122,4,2015,1,1,1,22,26
PI248509A,123,4,2015,1,1,1,24,24
PI250844,124,4,2015,1,1,1,21,25
PI253650A,125,4,2015,1,1,1,26.6,28
PI253651C,126,4,2015,1,1,1,30.3,26
PI253652C,127,4,2015,1,1,1,25.2,24
PI253653D,128,4,2015,1,1,1,29.4,26
PI253658A,129,4,2015,1,1,1,24.3,24
PI253660B,130,4,2015,1,1,1,31.3,28
PI261466,131,4,2015,1,1,1,23.5,26
PI261474,132,4,2015,4,5,5,9.1,6
PI266806A,133,4,2015,1,1,1,24.7,25
PI290149,134,4,2015,1,1,1,27.7,26
PI291274B,135,4,2015,1,1,1,27,24
PI291275,136,4,2015,1,1,1,28.7,25
PI291277,137,4,2015,1,1,1,27.1,23
PI291278,138,4,2015,1,1,1,31.1,27
PI291309C,139,4,2015,1,1,1,27.2,28
PI297538,140,4,2015,1,1,1,31.3,26
PI323586B,141,4,2015,2,2,2,18,19
PI326579,142,4,2015,2,2,2,19,18
PI326580,143,4,2015,1,1,1,23.3,25
PI339868E,144,4,2015,1,1,1,18.2,26
PI361080,145,4,2015,1,1,1,23,24
PI361090,146,4,2015,1,1,1,22,28
PI361101,147,4,2015,3,4,1,13,9
PI378663,148,4,2015,1,1,1,21,23
PI378679,149,4,2015,1,1,1,22.8,26
PI379559D,150,4,2015,1,1,1,23,24
PI379561,151,4,2015,1,1,1,28.3,26
PI391577,152,4,2015,1,1,1,28.5,24
PI391586,153,4,2015,1,1,1,24.6,26
PI398813,154,4,2015,1,1,1,26.9,23
PI398881,155,4,2015,1,1,1,31.2,28
PI401418,156,4,2015,1,1,1,25.9,29
PI404160B,157,4,2015,1,1,1,29.7,24
PI404166,158,4,2015,1,1,1,30,28
PI404169B,159,4,2015,1,1,1,24.1,26
PI407653,160,4,2015,1,1,1,32.5,26
PI407656,161,4,2015,1,1,1,24.7,24
PI407659A,162,4,2015,1,1,1,26.1,26
PI407746,163,4,2015,1,1,1,27.3,24
PI407810,164,4,2015,2,1,1,21,25
PI416762,165,4,2015,1,1,1,27.5,26
PI416773,166,4,2015,1,1,1,26.6,23
PI416835,167,4,2015,1,1,1,21.2,21.2
PI416868A,168,4,2015,3,4,4,11,8
PI417054,169,4,2015,1,1,1,22.6,26
PI417091,170,4,2015,1,1,1,22,23
PI417138,171,4,2015,1,1,1,25.5,24
PI417139,172,4,2015,1,1,1,31.2,26
PI417167,173,4,2015,1,1,1,26.5,24
PI417198,174,4,2015,1,1,1,22.7,25
PI417297,175,4,2015,1,1,1,27.6,26
PI417513B,176,4,2015,1,1,1,20.6,24
PI417517,177,4,2015,2,2,3,19,18
PI417559,178,4,2015,1,1,1,24.1,24
PI423870,179,4,2015,1,1,1,21.6,25
PI424005,180,4,2015,2,2,2,19,19
PI424078,181,4,2015,2,2,2,21,12
PI430596,182,4,2015,1,1,1,32.4,26
PI430597,183,4,2015,1,1,1,23.4,25
PI430619,184,4,2015,1,1,1,31.2,26
PI437091,185,4,2015,1,1,1,27.8,24
PI437098,186,4,2015,1,1,1,27.5,28
PI437116,187,4,2015,1,1,1,31.2,26
PI437121B,188,4,2015,1,1,1,32.7,24
PI437122,189,4,2015,1,1,1,21.3,26
PI437124,190,4,2015,1,3,3,21,12
PI437145B,191,4,2015,1,2,2,32,19
PI437156C,192,4,2015,1,1,1,24.6,25
PI437165A,193,4,2015,2,2,2,19,18
PI437174B,194,4,2015,1,1,1,25.2,24
PI437340B,195,4,2015,1,1,1,24.7,26
PI437345,196,4,2015,1,1,1,28.7,28
PI437356,197,4,2015,1,1,1,27.4,26
PI437377,198,4,2015,2,2,2,18.2,19
PI437399,199,4,2015,1,1,1,26.8,26
PI437425,200,4,2015,1,1,1,25.7,24
PI437427B,201,4,2015,1,1,1,20,25
PI437462A,202,4,2015,4,5,5,7,8
PI437477A,203,4,2015,1,1,1,30,26
PI437509,204,4,2015,1,1,1,24.1,24
PI437519,205,4,2015,1,1,1,24,25
PI437558,206,4,2015,1,1,1,30.4,26
PI437581,207,4,2015,4,5,5,6,6
PI437585,208,4,2015,1,1,1,31.2,24
PI437592,209,4,2015,1,1,1,30.3,29
PI437594A,210,4,2015,1,1,1,22,24
PI437651B,211,4,2015,1,1,1,23.6,25
PI437656,212,4,2015,1,1,1,26.1,26
PI437662,213,4,2015,1,1,1,25.3,23
PI437663,214,4,2015,1,1,1,31.7,24
PI437674,215,4,2015,1,1,1,26.3,25
PI437682A,216,4,2015,1,1,1,23,28
PI437690,217,4,2015,1,1,1,30.2,26
PI437715,218,4,2015,1,1,1,24.6,24
PI437716A,219,4,2015,1,1,1,28.2,25
PI437733,220,4,2015,1,1,1,26.9,23
PI437738B,221,4,2015,1,1,1,24.7,25
PI437757,222,4,2015,2,2,2,19.5,18
PI437786,223,4,2015,1,1,1,24.9,26
PI437803,224,4,2015,2,2,3,21,19
PI437840A,225,4,2015,1,1,1,22,24
PI437846,226,4,2015,1,1,1,30.3,25
PI437935,227,4,2015,1,1,1,26,26
PI437944,228,4,2015,1,1,1,25.6,28
PI437949,229,4,2015,1,1,1,28.9,23
PI437950,230,4,2015,1,1,1,24.7,24
PI437964A,231,4,2015,2,3,3,18,12
PI437973,232,4,2015,2,2,2,21,20
PI438031,233,4,2015,1,2,1,30.9,19
PI438094B,234,4,2015,1,1,1,26.9,25
PI438103,235,4,2015,4,4,4,8,6
PI438133B,236,4,2015,2,2,2,19,18
PI438139,237,4,2015,1,1,1,31.8,26
PI438152,238,4,2015,1,1,1,24,25
PI438173,239,4,2015,1,1,1,31.8,23
PI438194,240,4,2015,1,1,1,27,26
PI438218,241,4,2015,1,1,1,25.2,24
PI438259B,242,4,2015,2,2,2,21,20
PI438292,243,4,2015,1,1,1,31.6,23
